Table S6. OTUs greater than 0.3% of the total reads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#OTU ID,CDI04,PXA40,CXA31,CBJ42,CDI11,CBJ34,PBJ07,CXA28,PBJ31,PBJ47,PBJ50,PXA35,PXA38,CBJ29,CBJ37,CBJ45,CDI02,PXA36,CBJ30,CBJ36,CBJ48,CDI10,PBJ68,PBJ61,PBJ16,CBJ40,CXA32,CBJ35,PBJ04,CBJ46,PBJ14,CDI17,PXA13,CDI05,CXA19,PBJ03,PBJ01,CBJ32,PBJ54,PBJ62,PBJ66,CDI01,CDI12,CDI14,CDI18,CXA27,CXA30,PBJ67,CDI03,CXA29,PBJ06,PBJ71,CXA34,CBJ38,CDI13,CDI19,PBJ59,CDI09,CBJ39,PBJ55,PBJ49,PBJ69,PBJ28,CBJ51,PBJ60,PBJ64,CBJ33,PXA39,PBJ24,PBJ63,CDI15,PBJ26,CBJ41,CBJ43,CDI16,PBJ25,PBJ27,PBJ44,PBJ65,PBJ05,PBJ58,PBJ70,taxonomy
368099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,6801,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__
360015,27,8,15,87,13,1,138,163,2,446,123,39,273,257,18,7,99,52,10,0,113,24,33,195,0,1,35,25,304,17,225,56,167,8,4,102,0,20,147,712,26,55,63,0,21,10,20,30,49,43,250,104,15,19,131,173,242,5,22,54,16,1249,78,3,2,43,11,14,118,0,5,87,203,208,166,205,0,1098,0,0,2,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus
359809,37,276,280,0,390,396,0,222,650,2,3,1268,526,0,564,2,0,339,500,324,315,1,192,7,581,0,562,1,693,3,0,62,497,305,145,140,41,0,1,0,21,705,1359,1326,499,43,457,19,6,180,0,2,224,82,236,427,169,599,73,9,723,232,581,574,25,251,1927,7,816,69,111,610,0,0,341,0,0,0,20,33,0,0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Sutterella; s__
364926,1,952,0,0,0,1,0,678,1,3545,8,10,0,58,3476,2,2,0,2683,4168,5113,0,0,181,152,11,2397,1952,0,0,0,163,732,0,615,668,1,0,32,872,3447,573,0,134,1975,1760,1,642,0,1964,0,140,2157,4404,0,261,1586,25,4,0,2135,0,448,531,2867,1501,0,2731,8,35,1,1683,1725,0,2,0,0,0,1123,829,0,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
357046,108,120,279,0,28,585,0,62,0,2,1,60,20,1,7,0,1,0,497,2,0,291,0,6,79,499,23,259,465,0,2430,220,0,0,64,8,1,440,2,463,12,2,0,5,0,0,0,0,0,19,0,2,0,0,0,35,103,0,0,0,182,0,4,14,85,13,10,74,0,0,67,0,60,0,0,0,0,0,31,485,0,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__
484304,267,1198,679,82,1415,80,1,5,847,9,4,2445,716,605,210,6297,1079,947,150,287,829,454,77,32,189,2106,1134,79,0,2,27,22,297,214,97,109,0,511,6,1046,3,1683,10,401,0,1472,676,131,271,1376,361,17,2129,90,1,386,17,3342,104,1567,2071,0,83,708,931,6,6,14,586,6,127,1405,0,10,2811,0,2,0,48,201,0,0,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__
351231,299,1906,514,4886,23,564,32,963,6,2378,882,781,2,0,93,557,288,38,87,2,446,0,146,0,56,48,2142,0,44,26,5217,8695,844,896,118,7,0,48,752,2,285,75,537,0,336,3,344,30,1440,2,0,19,571,36,1438,9,337,46,325,2,13,0,63,130,56,3,963,26,5177,0,96,0,5932,219,8,0,1,12363,1,39,13671,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__fragilis
309433,115,13,328,158,235,246,0,1,9,5,27,0,41,0,1,0,525,0,68,194,1,130,8,27,162,160,5,145,1,33,0,11,0,81,172,22,0,260,3,0,59,1,57,7,374,301,108,237,628,9,0,271,355,5,0,1,0,114,300,4,978,0,3,380,0,0,10,1046,399,48,158,0,0,3,37,0,0,0,5,123,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__
362078,11,119,54,0,12,221,0,0,127,0,15,8,1,0,0,2,88,0,201,100,0,1188,43,23,119,1190,129,314,3,9,0,97,1,51,214,176,0,397,2,25,89,28,388,10,1,117,28,3,0,38,0,18,0,0,1,35,1,89,0,53,76,0,2,107,149,6,590,20,1,7,58,0,0,0,83,0,0,0,0,6,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
368175,316,1239,0,1,1,0,0,0,57,1,177,8,0,0,69,99,424,336,37,29,45,190,142,199,3,206,526,11,0,40,102,372,0,404,77,182,1,168,8,0,154,307,803,19,2,56,0,37,148,90,0,15,443,36,1,423,6,271,14,115,2,36,0,71,1241,141,76,35,15,16,410,0,0,0,1,0,0,0,41,77,0,0,k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; s__aerofaciens
