Table S9. OTUs greater than 0.001% of the total reads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phylum,Class,Order,Family,Genus,OTU,CDI04,PXA40,CXA31,CBJ42,CDI11,CBJ34,PBJ07,CXA28,PBJ31,PBJ47,PBJ50,PXA35,PXA38,CBJ29,CBJ37,CBJ45,CDI02,PXA36,CBJ30,CBJ36,CBJ48,CDI10,PBJ68,PBJ61,PBJ16,CBJ40,CXA32,CBJ35,PBJ04,CBJ46,PBJ14,CDI17,PXA13,CDI05,CXA19,PBJ03,PBJ01,CBJ32,PBJ54,PBJ62,PBJ66,CDI01,CDI12,CDI14,CDI18,CXA27,CXA30,PBJ67,CDI03,CXA29,PBJ06,PBJ71,CXA34,CBJ38,CDI13,CDI19,PBJ59,CDI09,CBJ39,PBJ55,PBJ49,PBJ69,PBJ28,CBJ51,PBJ60,PBJ64,CBJ33,PXA39,PBJ24,PBJ63,CDI15,PBJ26,CBJ41,CBJ43,CDI16,PBJ25,PBJ27,PBJ44,PBJ65,PBJ05,PBJ58
Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,12574,0,1,4,0,0,0,4,2,4,3,0,1,4,1,0,3,0,4,0,0,1,9,0,0,0,11,0,0,1,1,0,0,4,1,1,1,1,0,1,0,5,4,1,0,1,4,1,0,0,0,2,1,4,0,2,5,2,1,0,1,0,0,0,0,3,0,2,1,0,1,1,4,2,1,3,0,0,1,1,2,9
Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,787709,44,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,4,0,0,0,0,2,42,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,1089121,0,1,0,0,0,0,1,1,3,3,0,2,0,0,2,0,2,1,0,0,0,0,0,0,2,0,3,0,2,0,1,0,3,1,0,1,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,2,1
Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,1047041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,1096010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,370736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,1088305,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,1017181,0,0,3,0,1,2,0,3,3,0,0,0,1,0,2,5,2,1,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,1,2,0,0,0,4,1,0,3,0,0,0,3,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,15,1,0,1,0,0,0,1,3
Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,902334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,,137183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,,New.CleanUp.ReferenceOTU10512,1,4,0,0,2,0,0,0,1,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,2,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,365385,9,0,0,4,248,7,0,0,0,0,0,0,1,0,0,2,8,1,0,0,0,276,0,0,1,455,0,0,0,0,0,0,0,485,5,0,0,332,0,0,213,173,2,99,0,1,0,1,2,15,124,2,1,12,0,60,0,1,11,32,0,0,0,0,1,0,3,0,0,0,40,0,22,0,3,16,1,0,0,0,0
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,825808,3,3,1,0,9,0,0,0,2,0,0,10,2,4,0,18,0,4,1,1,3,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,3,0,1,0,8,0,1,0,5,3,1,0,2,1,0,6,0,0,1,0,10,0,14,2,0,0,1,5,0,0,0,3,0,1,5,0,0,20,0,0,0,1,3,0
Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,484304,267,1198,679,82,1415,80,1,5,847,9,4,2445,716,605,210,6297,1079,947,150,287,829,454,77,32,189,2106,1134,79,0,2,27,22,297,214,97,109,0,511,6,1046,3,1683,10,401,0,1472,676,131,271,1376,361,17,2129,90,1,386,17,3342,104,1567,2071,0,83,708,931,6,6,14,586,6,127,1405,0,10,2811,0,2,0,48,201,0
